#,Building,Images,Height,Floors,Building type,Year,Status
"2,428",O&#039;Dwyer Gardens IV,,142 ft,16,high-rise building,1969,
"2,429",O&#039;Dwyer Gardens VI,,142 ft,16,high-rise building,1969,
"2,430",O&#039;Dwyer Gardens V,,142 ft,16,high-rise building,1969,
"2,431",McKinley Houses IV,,142 ft,16,high-rise building,1962,
"2,432",Mill Brook Houses Extension,,142 ft,16,high-rise building,1962,
"2,433",Mill Brook Houses VIII,,142 ft,16,high-rise building,1959,
"2,434",Mill Brook Houses IV,,142 ft,16,high-rise building,1959,
"2,435",Lefrak Tower,2,142 ft,13,high-rise building,1961,
"2,436",The Forum Condominium,,142 ft,12,high-rise building,2010,
"2,437",The Merrion Condominium,,142 ft,12,high-rise building,1915,
"2,438",The Arlington Hotel,2,142 ft,11,high-rise building,1920,
"2,439",100 Norfolk Street,6,142 ft,12,high-rise building,2017,
"2,440",905 West End Avenue,,142 ft,13,high-rise building,1917,
"2,441",Jackson Houses IV,,141 ft,16,high-rise building,1963,
"2,442",Mill Brook Houses I,,141 ft,16,high-rise building,1959,
"2,443",Lenox Terrace I,,141 ft,16,high-rise building,1957,
"2,444",Lenox Terrace IV,,141 ft,16,high-rise building,1957,
"2,445",Lenox Terrace II,1,141 ft,16,high-rise building,1957,
"2,446",Lenox Terrace V,,141 ft,16,high-rise building,1957,
"2,447",Lenox Terrace III,2,141 ft,16,high-rise building,1957,
"2,448",Lenox Terrace VI,,141 ft,16,high-rise building,1957,
"2,449",36 East 36th Street,1,141 ft,13,high-rise building,1950,
"2,450",330 West 30th Street,,141 ft,13,high-rise building,1929,
"2,451",1055 Park,11,141 ft,12,high-rise building,2010,
"2,452",Chelsea Royale,4,141 ft,12,high-rise building,2005,
"2,453",Copley Plaza,2,141 ft,12,high-rise building,1926,
"2,454",442 West 57th Street,2,141 ft,12,high-rise building,1960,
"2,455",Maritime Hotel,8,141 ft,12,high-rise building,1969,
"2,456",High School of Economics and Finance,2,141 ft,10,high-rise building,1958,
"2,457",655 Morris Avenue,,141 ft,15,high-rise building,2016,
"2,458",NYPD Police Academy,,141 ft,9,high-rise building,2015,
"2,459",130 Flushing Avenue,,141 ft,12,high-rise building,2012,
"2,460",McKinley Houses V,,140 ft,16,high-rise building,1962,
"2,461",Jackson Houses VII,,140 ft,16,high-rise building,1963,
"2,462",Mill Brook Houses V,,140 ft,16,high-rise building,1959,
"2,463",Morrisania Houses II,,140 ft,16,high-rise building,1963,
"2,464",Concord Village IV,,140 ft,16,high-rise building,1956,
"2,465",Avalon Chrystie Place,12,140 ft,14,high-rise building,2005,
"2,466",The Smith,5,140 ft,13,high-rise building,2007,
"2,467",Webster Apartments,7,140 ft,13,high-rise building,1923,
"2,468",345 East 52nd Street,1,140 ft,13,high-rise building,1958,
"2,469",Brenley Building,2,140 ft,12,high-rise building,1926,
"2,470",4 East 66th Street,1,140 ft,12,high-rise building,1920,
"2,471",600 West End Avenue,,140 ft,12,high-rise building,1911,
"2,472",175 East Broadway,1,140 ft,10,high-rise building,1912,
"2,473",The Borden House Condominium,2,140 ft,10,high-rise building,1908,
"2,474",Fort Hamilton High School,,140 ft,4,building with towers,1940,
"2,475",World&#039;s Fair Unisphere,3,140 ft,-,monument,1964,
"2,476",Circa Central Park,14,140 ft,12,high-rise building,2017,
"2,477",Ten23 Apartments,15,140 ft,13,high-rise building,2011,
"2,478",Compass Residences 2A,,140 ft,12,high-rise building,2017,
"2,479",Conrad New York,5,140 ft,14,high-rise building,2000,
"2,480",171 Lexington Avenue,1,139 ft,12,high-rise building,2003,
"2,481",Soori High Line,10,139 ft,11,high-rise building,2017,
"2,482",Mill Brook Houses IX,,139 ft,16,high-rise building,1959,
"2,483",The Hawthorne,3,139 ft,14,high-rise building,1959,
"2,484",International House,2,139 ft,13,high-rise building,1924,
"2,485",150 Joralemon Street,7,139 ft,13,high-rise building,1927,
"2,486",The Sheridan,2,139 ft,13,high-rise building,1954,
"2,487",Amalgamated Co-op Building 14A-B,,139 ft,12,high-rise building,1949,
"2,488",334 East 24th Street,,139 ft,14,high-rise building,2016,
"2,489",132 Perry Street,3,139 ft,11,high-rise building,2000,
"2,490",One Fulton Square Office-Condos,,138 ft,13,high-rise building,2014,
"2,491",Tilden Houses VIII,,138 ft,16,high-rise building,1961,
"2,492",Tilden Houses VII,,138 ft,16,high-rise building,1961,
"2,493",Tilden Houses VI,,138 ft,16,high-rise building,1961,
"2,494",Tilden Houses V,,138 ft,16,high-rise building,1961,
"2,495",Tilden Houses IV,,138 ft,16,high-rise building,1961,
"2,496",Tilden Houses III,,138 ft,16,high-rise building,1961,
"2,497",Tilden Houses II,,138 ft,16,high-rise building,1961,
"2,498",Tilden Houses I,,138 ft,16,high-rise building,1961,
"2,499",McKinley Houses III,,138 ft,16,high-rise building,1962,
"2,500",McKinley Houses II,,138 ft,16,high-rise building,1962,
"2,501",Jackson Houses VI,,138 ft,16,high-rise building,1963,
"2,502",Jackson Houses V,,138 ft,16,high-rise building,1963,
"2,503",Jackson Houses III,,138 ft,16,high-rise building,1963,
"2,504",Jackson Houses II,,138 ft,16,high-rise building,1963,
"2,505",Jackson Houses I,,138 ft,16,high-rise building,1963,
"2,506","Morris Houses II, Building XI",,138 ft,16,high-rise building,1965,
"2,507","Morris Houses I, Building X",,138 ft,16,high-rise building,1965,
"2,508","Morris Houses I, Building VI",,138 ft,16,high-rise building,1965,
"2,509","Morris Houses I, Building V",,138 ft,16,high-rise building,1965,
"2,510","Morris Houses I, Building I",,138 ft,16,high-rise building,1965,
"2,511",Concord Village II,2,138 ft,16,high-rise building,1956,
"2,512",Concord Village I,3,138 ft,16,high-rise building,1956,
"2,513",New-York Historical Society,1,138 ft,14,high-rise building,1908,
"2,514",Findlay House,,138 ft,14,high-rise building,1971,
"2,515",American News Company Building,3,138 ft,12,high-rise building,1925,
"2,516",Amalgamated Co-op Building 13A-B,,138 ft,12,high-rise building,1950,
"2,517",3131 Grand Concourse,,138 ft,12,high-rise building,1955,
"2,518",The Glass Condominium,5,138 ft,9,high-rise building,2005,
"2,519",132-54 Pople Avenue,,138 ft,12,high-rise building,1990,
"2,520",382 3rd Avenue,3,138 ft,15,high-rise building,1983,
"2,521",Penn-Wortman Houses I,1,137 ft,16,high-rise building,1972,
"2,522",2700 Broadway,1,137 ft,13,high-rise building,2005,
"2,523",The Standish,3,137 ft,12,high-rise building,1903,
"2,524",560 West 24th street,9,137 ft,11,high-rise building,2014,
"2,525",Tompkins Houses VI,,137 ft,16,high-rise building,1964,
"2,526",Tompkins Houses IV,,137 ft,16,high-rise building,1964,
"2,527",Tompkins Houses VIII,,137 ft,16,high-rise building,1964,
"2,528",Tompkins Houses II,,137 ft,16,high-rise building,1964,
"2,529",McKinley Houses I,,137 ft,16,high-rise building,1962,
"2,530","Morris Houses II, Building XVII",,137 ft,16,high-rise building,1965,
"2,531","Morris Houses II, Building XVI",,137 ft,16,high-rise building,1965,
"2,532","Morris Houses II, Building XII",,137 ft,16,high-rise building,1965,
"2,533",Concord Village III,2,137 ft,16,high-rise building,1956,
"2,534",Sea Park West,2,137 ft,15,high-rise building,1972,
"2,535",880 Bergen Street,2,137 ft,14,high-rise building,2006,
"2,536",321 East 45th Street,1,137 ft,13,high-rise building,1960,
"2,537",775 Columbus Avenue,9,137 ft,12,high-rise building,2010,
"2,538",The Urban Glass House,10,137 ft,12,high-rise building,2006,
"2,539",Edward S. Harkness Eye Institute,,137 ft,12,high-rise building,1948,
"2,540",39 East 20th Street,4,137 ft,11,high-rise building,1906,
"2,541",The Edgar House,2,137 ft,11,high-rise building,1923,
"2,542",The Silver Star,,137 ft,10,high-rise building,2018,
"2,543",The Caroline Apartments,,137 ft,15,high-rise building,1982,
"2,544",80 Varick Street,1,137 ft,10,high-rise building,1920,
"2,545",One Rector Park,8,137 ft,15,high-rise building,1986,
"2,546",Willoughby Walk III,,136 ft,16,high-rise building,1958,
"2,547",Willoughby Walk II,,136 ft,16,high-rise building,1958,
"2,548",Willoughby Walk I,,136 ft,16,high-rise building,1958,
"2,549",Fordham Hill VII,,136 ft,15,high-rise building,1949,
"2,550",Fordham Hill V,,136 ft,15,high-rise building,1949,
"2,551",The Atelier,,136 ft,14,high-rise building,1905,
"2,552",3845 Sedgwick Avenue,,136 ft,14,high-rise building,1957,
"2,553",35 East 35th Street,2,136 ft,13,high-rise building,1955,
"2,554",Berkeley Plaza,1,136 ft,13,high-rise building,1926,
"2,555",Executive House,4,136 ft,13,high-rise building,1955,
"2,556",45 Main Street,4,136 ft,12,high-rise building,1910,
"2,557",Long Island University,1,136 ft,11,high-rise building,1928,
"2,558",331 West 44th Street,3,136 ft,10,high-rise building,1929,
"2,559",226 West 26th Street,1,136 ft,10,high-rise building,1928,
"2,560",Manhattan Mini-Storage,1,136 ft,6,high-rise building,1928,
"2,561",George T. Douris Tower,1,136 ft,15,high-rise building,2009,
"2,562",Jupiter 21,,136 ft,12,high-rise building,2013,
"2,563",Casa,4,135 ft,15,high-rise building,2008,
"2,564",1 John Street,6,135 ft,12,high-rise building,2016,
"2,565",Chelsea Place,6,135 ft,12,high-rise building,2001,
"2,566",497 Greenwich,8,135 ft,11,high-rise building,2004,
"2,567",Tilden Towers I,,135 ft,16,high-rise building,1967,
"2,568",Parkway House,,135 ft,15,high-rise building,1954,
"2,569",350 Hudson Tower,5,135 ft,15,high-rise building,1991,
"2,570",University Towers III,1,135 ft,15,high-rise building,1958,
"2,571",University Towers II,1,135 ft,15,high-rise building,1958,
"2,572",University Towers I,2,135 ft,15,high-rise building,1958,
"2,573",Concord Village V,,135 ft,15,high-rise building,1950,
"2,574",Concord Village VII,1,135 ft,15,high-rise building,1950,
"2,575",Concord Village VI,2,135 ft,15,high-rise building,1950,
"2,576",Chelsea Green,,135 ft,14,high-rise building,2013,
"2,577",Schaefer Landing South Tower,6,135 ft,14,high-rise building,2006,
"2,578",21 Chelsea Apartments,3,135 ft,14,high-rise building,2002,
"2,579",540 West 28th Street,5,135 ft,13,high-rise building,2010,
"2,580",Smyth Tribeca Hotel,14,135 ft,13,high-rise building,2009,
"2,581",Verde Chelsea,1,135 ft,13,high-rise building,2008,
"2,582",92 Warren,3,135 ft,13,high-rise building,1920,
"2,583",22 Chelsea,4,135 ft,13,high-rise building,2000,
"2,584",Paradigm Condominium,2,135 ft,12,high-rise building,2004,
"2,585",31 Kosciuszko Street,3,135 ft,12,high-rise building,2009,
"2,586",142 West 49th Street,2,135 ft,12,high-rise building,1903,
"2,587",520 West 27th Street,1,135 ft,11,high-rise building,2006,
"2,588",Altair 20,1,135 ft,11,high-rise building,1905,
"2,589",Corbin Building,3,135 ft,9,high-rise building,1889,
"2,590",East West Tower,,135 ft,13,high-rise building,2017,
"2,591",363 Bond Street,,135 ft,12,high-rise building,2017,
"2,592",FiveForty,5,135 ft,9,high-rise building,2018,
"2,593",351 East 61st Street,1,134 ft,15,high-rise building,1999,
"2,594",Brooklyn Law School Residence Hall,,134 ft,12,high-rise building,1910,
"2,595",Minkin Rehab Institute,,134 ft,11,high-rise building,1975,
"2,596",Queens Tower Office Building,1,134 ft,11,high-rise building,1975,
"2,597",YWCA of Brooklyn,2,134 ft,11,high-rise building,1927,
"2,598",3-7 West 22nd Street,2,134 ft,10,high-rise building,1901,
"2,599",Loft 25,1,134 ft,9,high-rise building,1912,
"2,600",Warren Lofts Tribeca,4,134 ft,11,high-rise building,1931,
"2,601",3047 Brighton 6th Street,,134 ft,13,high-rise building,2010,
"2,602",65 Oceana Drive East,,134 ft,12,high-rise building,2005,
"2,603",The Hallmark,6,134 ft,14,high-rise building,2000,
"2,604",The Dietz Lantern Building,5,133 ft,9,high-rise building,1887,
"2,605",Concourse Plaza Home,,133 ft,11,high-rise building,1922,
"2,606",The Elysabeth,3,133 ft,13,high-rise building,1961,
"2,607",The Enclave,2,133 ft,16,high-rise building,1986,
"2,608",Kingsview Co-ops I,,133 ft,15,high-rise building,1956,
"2,609",Hudson Towers,,133 ft,15,high-rise building,1962,
"2,610",O&#039;Dwyer Gardens II,,133 ft,15,high-rise building,1969,
"2,611",O&#039;Dwyer Gardens I,,133 ft,15,high-rise building,1969,
"2,612",Surfside Gardens III,,133 ft,15,high-rise building,1969,
"2,613",John Adams Houses III,,133 ft,15,high-rise building,1964,
"2,614",John Adams Houses II,,133 ft,15,high-rise building,1964,
"2,615",John Adams Houses I,,133 ft,15,high-rise building,1964,
"2,616",366 West 11th Street Condominiums,1,133 ft,14,high-rise building,1986,
"2,617",Riverstone,,133 ft,13,high-rise building,2008,
"2,618",Navy Yard Housing Cooperative,,133 ft,13,high-rise building,1942,
"2,619",Consumers Cooperative Services Apartments,2,133 ft,13,high-rise building,1930,
"2,620",Cornish Arms Hotel,3,133 ft,13,high-rise building,1926,
"2,621",High Line 519,4,133 ft,11,high-rise building,2006,
"2,622",110 + Bway,1,133 ft,11,high-rise building,2006,
"2,623",105 East 16th Street,,133 ft,10,high-rise building,1914,
"2,624",32-02 Queens Boulevard,,133 ft,8,high-rise building,1931,
"2,625",Sheppard Hall,,133 ft,4,high-rise building,-,
"2,626",Cipriani Club Residences,,133 ft,9,high-rise building,1842,
"2,627",230 West 27th Street,1,133 ft,15,high-rise building,1974,
"2,628",1 Hotel Brooklyn Bridge,7,132 ft,10,high-rise building,2017,
"2,629",Hyatt Place Flushing/LaGuardia Airport,,132 ft,10,high-rise building,2014,
"2,630",Sedgwick Houses III,,132 ft,15,high-rise building,1951,
"2,631",Kingsview Co-ops VI,,132 ft,15,high-rise building,1956,
"2,632",Kingsview Co-ops III,,132 ft,15,high-rise building,1956,
"2,633",Kingsview Co-ops II,,132 ft,15,high-rise building,1956,
"2,634",Carey Gardens III,,132 ft,15,high-rise building,1970,
"2,635",555 West 23rd Street South,9,132 ft,14,high-rise building,2005,
"2,636",11 Waverly Place,4,132 ft,13,high-rise building,1930,
"2,637",Riviera Apartments,,132 ft,13,high-rise building,1910,
"2,638",60 East 56th Street,2,132 ft,12,high-rise building,1955,
"2,639",Broadway Temple North Apartments,1,132 ft,12,high-rise building,1927,
"2,640",Broadway Temple South Apartments,1,132 ft,12,high-rise building,1927,
"2,641",Apex Technical School,3,132 ft,8,high-rise building,1902,
"2,642","Newman Library and Technology Center, Baruch College",,132 ft,8,high-rise building,1895,
"2,643",The Shelton,1,132 ft,14,high-rise building,2011,
"2,644",175 Varick Street,1,131 ft,10,high-rise building,1927,
"2,645",99 University Place,2,131 ft,10,high-rise building,1901,
"2,646",Bryant Park Studios Building,4,131 ft,10,high-rise building,1901,
"2,647",708 Broadway,1,131 ft,10,high-rise building,1896,
"2,648",285 Mercer Street,1,131 ft,10,high-rise building,1911,
"2,649",99 10th Avenue,4,131 ft,10,high-rise building,1918,
"2,650",396 Broadway,1,131 ft,10,high-rise building,1899,
"2,651",321 West 44th Street,4,131 ft,10,high-rise building,1929,
"2,652",The Townsway,1,131 ft,15,high-rise building,1964,
"2,653",Palisades House,,131 ft,15,high-rise building,1954,
"2,654",Middletown Plaza,,131 ft,15,high-rise building,1973,
"2,655",John Adams Houses IV,,131 ft,15,high-rise building,1964,
"2,656",Hotel Giraffe,6,131 ft,12,high-rise building,1999,
"2,657",290 Mulberry Street,28,131 ft,11,high-rise building,2009,
"2,658",The Powell Building,6,131 ft,11,high-rise building,1920,
"2,659",Hyatt Union Square New York,3,131 ft,11,high-rise building,2013,
"2,660",Bay Royal Towers,1,131 ft,14,high-rise building,1990,
"2,661",Harlem River II Houses VIII,,130 ft,15,high-rise building,1965,
"2,662",Shelly Estate Apartments,,130 ft,15,high-rise building,1969,
"2,663",Chatterton Terrace Apartments,,130 ft,15,high-rise building,1964,
"2,664","Roosevelt Houses II, Building IX",,130 ft,15,high-rise building,1966,
"2,665",Dennis Lane Apartments II,,130 ft,14,high-rise building,1958,
"2,666",Dennis Lane Apartments I,,130 ft,14,high-rise building,1958,
"2,667",89 Metropolitan Oval,1,130 ft,13,high-rise building,1939,
"2,668",1510 Unionport Road,,130 ft,13,high-rise building,1939,
"2,669",1 Pierrepont Street Apartments,6,130 ft,13,high-rise building,1924,
"2,670",Wyckoff Heights Medical Center,,130 ft,12,high-rise building,1931,
"2,671",The Beauclaire,3,130 ft,12,high-rise building,1927,
"2,672",The Walton,,130 ft,12,high-rise building,1903,
"2,673",635 Riverside Drive,,130 ft,11,high-rise building,1912,
"2,674",15 West 17th Street,2,130 ft,11,high-rise building,1906,
"2,675",The Manhasset,16,130 ft,11,high-rise building,1904,
"2,676",Saint Joseph High School,1,130 ft,10,high-rise building,1926,
"2,677",Bryn Mawr Apartments,,130 ft,14,high-rise building,1964,
"2,678",100 Barrow Street,11,130 ft,12,high-rise building,2017,
"2,679",251 1st Condominiums,,130 ft,11,high-rise building,2017,
"2,680",Grandview Tower,,129 ft,15,high-rise building,1964,
"2,681",Scheuer House of Flushing,2,129 ft,14,high-rise building,1988,
"2,682",Prima,,129 ft,13,high-rise building,2009,
"2,683",1560 Metropolitan Avenue,,129 ft,13,high-rise building,1939,
"2,684",2 Montague Terrace,1,129 ft,12,high-rise building,1917,
"2,685",Metal Shutter Houses,16,129 ft,11,high-rise building,2010,
"2,686",ARC LIC,,129 ft,10,high-rise building,2017,
"2,687",27 East 169th Street,,128 ft,13,high-rise building,2015,
"2,688",Wien House,1,128 ft,14,high-rise building,1990,
"2,689",1191 Boston Road,,128 ft,12,high-rise building,2015,
"2,690","Roosevelt Houses I, Building VI",,128 ft,15,high-rise building,1964,
"2,691",Rosedale Gardens IV,,128 ft,15,high-rise building,1961,
"2,692",Rosedale Gardens III,,128 ft,15,high-rise building,1961,
"2,693",Rosedale Gardens II,,128 ft,15,high-rise building,1961,
"2,694",Rosedale Gardens I,,128 ft,15,high-rise building,1961,
"2,695","Roosevelt Houses I, Building II",,128 ft,15,high-rise building,1964,
"2,696","Roosevelt Houses I, Building V",,128 ft,15,high-rise building,1964,
"2,697","Roosevelt Houses I, Building I",,128 ft,15,high-rise building,1964,
"2,698",Clinton Hill Apartments X,,128 ft,14,high-rise building,1945,
"2,699",Kingsview Co-ops IV,,128 ft,14,high-rise building,1956,
"2,700",1551 Unionport Road,,128 ft,13,high-rise building,1939,
"2,701",The GreeneHouse,6,128 ft,12,high-rise building,2005,
"2,702","Dicker Residence Hall, Brooklyn Law School",2,128 ft,12,high-rise building,1949,
"2,703",175 Remsen Street,2,128 ft,12,high-rise building,1960,
"2,704",25 East 83rd Street,1,128 ft,12,high-rise building,1938,
"2,705",One Jackson Square,46,128 ft,11,high-rise building,2011,
"2,706",47 East 91st Street,,128 ft,10,high-rise building,2004,
"2,707",Court House Apartments,11,128 ft,11,high-rise building,2005,
"2,708",105 Lexington Avenue,1,128 ft,12,high-rise building,1988,
"2,709","Roosevelt Houses II, Building VIII",,127 ft,15,high-rise building,1966,
"2,710",Clinton Hill Apartments IV,,127 ft,14,high-rise building,1943,
"2,711",Dyckman Houses VI,,127 ft,14,high-rise building,1951,
"2,712",Dyckman Houses V,,127 ft,14,high-rise building,1951,
"2,713",Dyckman Houses III,,127 ft,14,high-rise building,1951,
"2,714",Hayden on the Hudson,,127 ft,14,high-rise building,1968,
"2,715",Adelphia House,,127 ft,14,high-rise building,1964,
"2,716",Fordham Hill VI,,127 ft,14,high-rise building,1949,
"2,717",14 Metropolitan Oval,1,127 ft,13,high-rise building,1939,
"2,718",2059 McGraw Avenue,,127 ft,13,high-rise building,1939,
"2,719",520 West Chelsea,20,127 ft,11,high-rise building,2008,
"2,720",Ocean Plaza Condominiums,2,127 ft,11,high-rise building,2006,
"2,721",160-16 Jamaica Avenue,3,127 ft,10,high-rise building,1928,
"2,722",CBS Studios Office,,127 ft,8,high-rise building,1913,
"2,723",5030 Broadway,,127 ft,8,high-rise building,-,
"2,724",La Rive,,127 ft,13,high-rise building,1986,
"2,725",Estelle R. Newman Center,,126 ft,10,high-rise building,1971,
"2,726",Parkside Houses III,,126 ft,15,high-rise building,1951,
"2,727",4555 Henry Hudson Parkway West,,126 ft,13,high-rise building,1953,
"2,728",3835 Sedgwick Avenue,,126 ft,13,high-rise building,1957,
"2,729",44 Market Street,,126 ft,12,high-rise building,2006,
"2,730",4525 Henry Hudson Parkway West,,126 ft,12,high-rise building,1953,
"2,731",Court Street Lofts,,126 ft,10,high-rise building,1920,
"2,732",Transmission Tower,,126 ft,-,mast (pole),-,
"2,733",The Boro Hotel,,126 ft,13,high-rise building,2015,
"2,734",La Casa de la Luna,,126 ft,11,high-rise building,2010,
"2,735",350 West Broadway,6,126 ft,10,high-rise building,2010,
"2,736",The Kent,,126 ft,9,high-rise building,1930,
"2,737",100 Hudson Street,3,126 ft,10,high-rise building,1909,
"2,738",Affordable & Supportive Family Housing at Van Dyke,,126 ft,12,high-rise building,2017,
"2,739",Surrey Park Apartments,,126 ft,13,high-rise building,1974,
"2,740",151 East 83rd Street,,126 ft,11,high-rise building,1929,
"2,741",358 Grove Street,3,125 ft,14,high-rise building,2007,
"2,742",Dyckman Houses VII,,125 ft,14,high-rise building,1951,
"2,743",Hugh Grant Gardens,,125 ft,14,high-rise building,1967,
"2,744",Surfside Gardens I,,125 ft,14,high-rise building,1969,
"2,745",Surfside Gardens II,,125 ft,14,high-rise building,1969,
"2,746",Surfside Gardens IV,,125 ft,14,high-rise building,1969,
"2,747",Surfside Gardens V,,125 ft,14,high-rise building,1969,
"2,748",Westwood Terrace,,125 ft,14,high-rise building,1962,
"2,749",Northwood Terrace,,125 ft,14,high-rise building,1962,
"2,750",Rangel Houses IV,,125 ft,14,high-rise building,1951,
"2,751",1650 Metropolitan Avenue,,125 ft,13,high-rise building,1939,
"2,752",Amsterdam Nursing Home,,125 ft,13,high-rise building,1976,
"2,753",333 Greene Avenue,7,125 ft,12,high-rise building,2011,
"2,754",Hunters View,9,125 ft,12,high-rise building,2009,
"2,755",The Kalahari A,15,125 ft,12,high-rise building,2008,
"2,756",185 South 4th Street,3,125 ft,12,high-rise building,2008,
"2,757",145 East 92nd Street,1,125 ft,12,high-rise building,1929,
"2,758",The L Haus,12,125 ft,11,high-rise building,2009,
"2,759",The View,,125 ft,11,high-rise building,2009,
"2,760",245 Tenth Avenue,62,125 ft,11,high-rise building,2010,
"2,761",Hampton Inn Manhattan-Times Square North,3,125 ft,11,high-rise building,1963,
"2,762",64 Fulton Street,6,125 ft,11,high-rise building,1898,
"2,763",57 West 75th Street,,125 ft,10,high-rise building,1898,
"2,764",Bennet Building,6,125 ft,10,high-rise building,1873,
"2,765",Queens Tower,3,125 ft,10,high-rise building,1972,
"2,766",45 East 66th Street,8,125 ft,10,high-rise building,1906,
"2,767",Luminous,5,125 ft,9,high-rise building,2008,
"2,768",Saint Francis College Academic Center,2,125 ft,8,high-rise building,2006,
"2,769",Manhattan Park,22,125 ft,8,high-rise building,2007,
"2,770",Arris Lofts,5,125 ft,8,high-rise building,1920,
"2,771",The Aurora,6,125 ft,13,high-rise building,2007,
"2,772",The Octagon South Wing,4,125 ft,13,high-rise building,2006,
"2,773",The Octagon North Wing,12,125 ft,13,high-rise building,2006,
"2,774",Park House,,125 ft,12,high-rise building,2017,
"2,775",Moda Apartments,,125 ft,12,high-rise building,2010,
"2,776",31 West 12th Street,1,125 ft,11.5,high-rise building,1900,
"2,777",22-22 Jackson,6,125 ft,11,high-rise building,2015,
"2,778",Ikon,10,125 ft,9,high-rise building,2008,
"2,779",Tower 21,,125 ft,14,high-rise building,2005,
"2,780",The Murano,7,125 ft,12,high-rise building,2010,
"2,781",Ten 63 Jackson,6,125 ft,8,high-rise building,2009,
"2,782",144 West 23rd Street,2,125 ft,13,high-rise building,1989,
"2,783",365 Bond,,125 ft,12,high-rise building,2016,
"2,784",NoLita Place,2,125 ft,12,high-rise building,2002,
"2,785",Wyndham Garden Fresh Meadows Flushing,,124 ft,12,high-rise building,2017,
"2,786",45 Oceana Drive East,,124 ft,12,high-rise building,2005,
"2,787",Van Dyke I Houses XXII,,124 ft,14,high-rise building,1955,
"2,788",Van Dyke I Houses XXI,,124 ft,14,high-rise building,1955,
"2,789",Van Dyke I Houses XX,,124 ft,14,high-rise building,1955,
"2,790",Van Dyke I Houses XI,,124 ft,14,high-rise building,1955,
"2,791",Van Dyke I Houses XII,,124 ft,14,high-rise building,1955,
"2,792",Van Dyke I Houses VIII,,124 ft,14,high-rise building,1955,
"2,793",Van Dyke I Houses VII,,124 ft,14,high-rise building,1955,
"2,794",Van Dyke I Houses XIV,,124 ft,14,high-rise building,1955,
"2,795",Van Dyke I Houses V,,124 ft,14,high-rise building,1955,
"2,796",Van Dyke I Houses XVII,,124 ft,14,high-rise building,1955,
"2,797",Van Dyke I Houses XIX,,124 ft,14,high-rise building,1955,
"2,798",Van Dyke I Houses III,,124 ft,14,high-rise building,1955,
"2,799",Van Dyke I Houses I,,124 ft,14,high-rise building,1955,
"2,800",Sedgwick Houses II,,124 ft,14,high-rise building,1951,
"2,801",Clinton Hill Apartments VIII,,124 ft,14,high-rise building,1945,
"2,802",Clinton Hill Apartments VII,,124 ft,14,high-rise building,1945,
"2,803",Clinton Hill Apartments II,,124 ft,14,high-rise building,1946,
"2,804",3850 Sedgwick Avenue,,124 ft,14,high-rise building,1955,
"2,805",St. Phillips&#039; Senior House,,124 ft,14,high-rise building,1973,
"2,806",Rochdale Village 17,,124 ft,14,high-rise building,1963,
"2,807",Van Dyke II Houses XXIV,,124 ft,14,high-rise building,1964,
"2,808",Briar Hill Apartments,,124 ft,14,high-rise building,1959,
"2,809",Rangel Houses III,,124 ft,14,high-rise building,1951,
"2,810",Rangel Houses II,,124 ft,14,high-rise building,1951,
"2,811",81 East Third Street,,124 ft,13,high-rise building,2005,
"2,812",1540 Unionport Road,,124 ft,13,high-rise building,1939,
"2,813",1594 Unionport Road,,124 ft,13,high-rise building,1939,
"2,814",1501 Metropolitan Avenue,,124 ft,13,high-rise building,1939,
"2,815",Castle Village Apartments III,,124 ft,13,high-rise building,1938,
"2,816",Castle Village Apartments II,,124 ft,13,high-rise building,1938,
"2,817",Castle Village Apartments I,,124 ft,13,high-rise building,1938,
"2,818",SLATE Luxury Condominiums,2,124 ft,12,high-rise building,2007,
"2,819",Hotel Orleans,,124 ft,11,high-rise building,1900,
"2,820",The Langston,4,124 ft,10,high-rise building,2006,
"2,821",La Casa De La Estrella,,124 ft,12,high-rise building,2011,
"2,822",West Lake Tower,,124 ft,11,high-rise building,2008,
"2,823",Queens Criminal Courthouse,,123 ft,8,high-rise building,1961,
"2,824",Melrose Houses VIII,,123 ft,14,high-rise building,1952,
"2,825",Melrose Houses VII,,123 ft,14,high-rise building,1952,
"2,826",Melrose Houses VI,,123 ft,14,high-rise building,1952,
"2,827",Melrose Houses V,,123 ft,14,high-rise building,1952,
"2,828",Melrose Houses IV,,123 ft,14,high-rise building,1952,
"2,829",Melrose Houses III,,123 ft,14,high-rise building,1952,
"2,830",Melrose Houses II,,123 ft,14,high-rise building,1952,
"2,831",Melrose Houses I,,123 ft,14,high-rise building,1952,
"2,832",Sedgwick Houses V,,123 ft,14,high-rise building,1951,
"2,833",Kingsview Co-ops V,,123 ft,14,high-rise building,1956,
"2,834",Parkside Apartments,,123 ft,14,high-rise building,1958,
"2,835",Bronx River Houses VII,,123 ft,14,high-rise building,1951,
"2,836",Coney Island I (Site 8),1,123 ft,14,high-rise building,1973,
"2,837",Queensview West Apartments VII,,123 ft,14,high-rise building,1958,
"2,838",Queensview West Apartments VI,,123 ft,14,high-rise building,1958,
"2,839",Queensview West Apartments V,,123 ft,14,high-rise building,1958,
"2,840",Queensview West Apartments IV,,123 ft,14,high-rise building,1958,
"2,841",Queensview West Apartments III,,123 ft,14,high-rise building,1958,
"2,842",Queensview West Apartments II,,123 ft,14,high-rise building,1958,
